web-scraper-order;web-scraper-start-url;link;link-href;judul;penulis;abstrak
1677119752-11;https://pta.trunojoyo.ac.id/c_search/byprod/10/98;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100033;"ANALISIS SENTIMEN UNTUK MENGETAHUI RESPON PUBLIK MENGENAI KEBIJAKAN PEMERINTAH PADA TWITTER MENGGUNAKAN METODE NAIVE BAYES
(STUDI KASUS: Rancangan Hukuman Kebiri Bagi Pedofil)";Penulis : Ainun Chusnul Chotima;"Perkembangan internet pada saat ini sangat pesat. Dengan didukungnya media sosial yang banyak bermunculan pada masa sekarang.Kemudahan mengakses merupakan salah satu faktor banyaknya masyarakat menggunakan media sosial salah satunya adalah twitter. Dengan media sosial ini juga dapat dimanfaatkan untuk mengetahui opini publik mengenai penilaian terhadap suatu kebijakan atau aturan yang dibuat oleh sebuah instansi atau pemerintahan, contohnya yang sedang dibicarakan saat ini yaitu hukuman kebiri untuk kejahatan seksual terhadap anak-anak. Kebijakan ini masih dalam rancanagn, namun sebagai sebuah pemerintahan harus mengetahui respon masyarakatnya mengenai rancangan tersebut. Karena sebuah peraturan atau kebijakan dapat mempengaruhi kehidupan masyarakat banyak. Maka dari itu pemanfaatan media sosial inilah untuk mengetahui respon masyarakat melalui komentar setuju atau tidaknya pada media sosial  salah satunya adalah twitter.
Pemanfaatan analisa sentimen inilah yang digunakan untuk mengetahui responsif masyarakat, selain itu metode yang digunakan pada pemanfaatan ini yaitu algoritma Naive Bayes . Dengan menggunakan metode ini kita dapat mengklasifikasi opini publik tersebut dan dapat memetakan setiap kategori baik itu opini setuju,tidak setuju dan netral.Akurasi pada sistem ini yaitu mencapai 67%."
1677119754-12;https://pta.trunojoyo.ac.id/c_search/byprod/10/98;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100091;Pengenalan Motif Batik Madura Menggunakan 2D Discrete Cosine Transform dan Neural Network Backpropagation;Penulis : Ahmad Madani;Batik merupakan salah satu budaya yang sudah menjadi identitas bagi  negara Indonesia. Batik indonesia mempunyai banyak keanekaragaman motif dan setiap daerah memiliki  model dan ciri khas yang hampir sama. Masyarakat pada umumnya hanya menggunakan batik tanpa mengenal dari mana asal batik yang mereka gunakan. Mereka tidak bisa membedakan asal motif dan model yang ada di setiap batik. Sehingga diperlukan sistem yang dapat membedakan jenis batik khususnya batik madura. Pada penelitian ini akan melakukan teknik untuk mengklasifikasikan batik dengan menggunakan Jaringan syaraf tiruan Backpropagation. Sedangkan untuk ekstrasi cirinya menggunakan metode 2-D Discreet Cosine Transform (DCT). Dimana data training dan data testing akan di uji secara acak menggunakan metode K-Fold Cross Validation. Hasil dari penelitian ini berupa sistem yang dapat menglasifikasi Batik Madura. Pada penelitian ini akurasi tertinggi batik yang dapat dikenali sistem adalah 46.153%.
1677119757-13;https://pta.trunojoyo.ac.id/c_search/byprod/10/98;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100004;Sistem Pendukung Keputusan Seleksi Masuk PBSI Menggunakan Metode SMART(Studi Kasus PBSI Kabupaten Sumenep);Penulis : Mohammad Fauzan Alif;"ABSTRAK
Pembinaan pemain bulutangkis didaerah perlu ditingkatkan karena perlu kita ketahui pada saat ini Indonesia mengalami penurunan yang cukup jauh dari sebelumnya. Banyak pemain muda Indonesia menyamai para pendahulu-pendahulu mereka.
Salah satu contoh PBSI kabupaten Sumenep tiga tahun terakhir ini mengalami penurunan. Dimana pada tahun 2007 PBSI kabupaten  Sumenep sempat menjadi salah satu kabupaten yang ada di Madura yang sangat produktif menghasilkan pemain bulutangkis yang sangat berkualitas, namun pada saat ini kabupaten Sumenep mengalami penurunan kualiatas pemain, setiap perwakilan yang mengikuti kompetisi diluar daerah pasti mengalami kekalahan dibabak penyisihan.
Melihat permasalahan yang diatas perlu ada test dan sebuah sistem pendukung keputusan agar dapat menghasilkan pemain dengan kualitas. Dengan mengunakan metode SMART sekiranya dapat membantu  menghasilkan atlit yang diinginkan  sesuai yang diharapkan.
Hasil dari penilaian seleksi menggunakan metode SMART menghasilkan nilai akurasi sebesar 80%, nilai akurasi di dapatkan dari hasil perbandingan antara data hasil perhitungan sistem dengan data rekomendasi dari pelatih.
 

Kata kunci : PBSI, Produltif, SMART, Sistem Pendukung Keputusan."
1677119759-14;https://pta.trunojoyo.ac.id/c_search/byprod/10/98;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100106;"SISTEM INFORMASI MANAJEMEN PRAKTIKUM
(STUDI KASUS: TEKNIK INFORMATIKA UNIVERSITAS TRUNOJOYO MADURA)";Penulis : Iskandar Zulkarnain;Praktikum merupakan kegiatan pembelajaran yang wajib bagi mahasiswa S1 Teknik Informatika yang bertujuan untuk menguji dan mengaplikasikan teori serta sebagai pembuktian ilmiah mata kuliah tertentu. Pada proses manajemen praktikum masih dilakukan secara manual, hal tersebut dapat menyita banyak waktu serta sering terjadinya kesalahan dalam penyajian informasinya. Sistem informasi manajemen praktikum dibangun dengan tujuan sebagai sistem yang mengelola pelaksanaan praktikum. Sistem dibangun menggunakan bahasa pemrograman php dengan framework LARAVEL dan postgreSQL sebagai database-nya.  Berdasarkan uji coba sistem dengan menyebarkan kuisioner maka didapatkan hasil bahwa 74.5% dengan adanya sistem informasi manajemen praktikum, membantu dalam merekapan dan mengelola data praktikum serta dalam mendapatkan informasi terkait dengan kegiatan praktikum
1677119762-15;https://pta.trunojoyo.ac.id/c_search/byprod/10/98;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100113;IDENTIFIKASI ACUTE LYMPHOBLASTIC LEUKEMIA MENGGUNAKAN BACKPROPAGATION BERBASIS FITUR BENTUK;Penulis : Moh. Abd. Kholiq;Leukemia adalah salah satu jenis kanker yang sangat berbahaya. Kanker ini menyerang sel darah  dan sumsum tulang belakang. Salah satu jenis leukemia adalah Acute Lymphoblastic Leukemia (ALL). ALL biasanya menyerang anak-anak. Saat ini untuk mengidentifikasi penyakit ALL masih dilakukan secara manual. Hal ini membuat kurang effisennya waktu dan hasil yang didapatkan. Oleh karena itu, dibutuhkan suatu sistem dapat melakukan identifikasi penyakit leukemia dengan cepat dan hasil yang baik. Di penelitihan ini dilakukan klasifikasi sel darah putih yang normal dan tidak normal untuk mengidentifikasi penyakit Acute Lymphoblastic Leukemia (ALL). Proses awal adalah melakukan segmentasi berbasis HSV Color Space untuk memisahkan sel darah putih dari latar. Proses selanjutnya adalah ekstraksi fitur berdasarkan Fitur Bentuk sel darah putih. Sedangkan untuk proses klasifikasinya menggunakan Jaringan Saraf Tiruan Backpropagation. Database citra yang digunakan adalah ALL-IDB2 yang berisi 260 citra sel darah putih, dengan 130 kandidat limfoblastik (Positif ALL). Pengujian pada penelitian ini mengahasilkan akurasi terbaik sebesar 66,9% dengan menggunakan 130 data pelatihan.
1677119767-16;https://pta.trunojoyo.ac.id/c_search/byprod/10/97;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/090411100033;RANCANG BANGUN APLIKASI SISTEM INFORMASI PERIJINAN ONLINE PADA BADAN PERIJINAN KABUPATEN BOJONEGORO;Penulis : Muhammad Salman;"Perkembangan teknologi informasi yang pesat belakangan ini sangat mendukung kegiatan komunikasi dan mendongkrak laju keluar masuk informasi. Karena hal ini terjadi banyaknya persaingan baik di bidang perekonomian dan perdagangan. Hal ini menjadi pemicu tumbuhnya pelaku wirausaha baik kecil maupun menengah.
Meningkatnya pelaku wirausaha mempunyai kendala tersendiri seperti rumitnya birokrasi dalam mengurus surat ijin usaha perdagangan (SIUP) maupun ijin — ijin lainnya. Pada kasus ini kebanyakan di karenakan buruknya pelayanan untuk memperoleh ijin usaha dari lembaga perijinan terutama di daerah — daerah.
Dalam upaya peningkatan kualitas pelayanan untuk pengajuan perijinan maka di butuhkan suatu sarana menggunakan teknologi informasi untuk menunjang proses pengajuan perijinan usaha, maka untuk itu dalam penelitian tugas akhir ini akan di buatkan system informasi perijinan online yang mana system ini akan di terapkan pada Badan Perijinan Kabupaten Bojonegoro guna mempermudah pelaku usaha untuk mengajukan ijin usaha tanpa harus datang ke lembaga perijinan yang menerbitkan ijin usaha."
1677119769-17;https://pta.trunojoyo.ac.id/c_search/byprod/10/97;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100100;"IDENTIFIKASI ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) BERDASARKAN FITUR
BENTUK MENGGUNAKAN KLASIFIKASI NAIVE BAYES";Penulis : Anwar Fuadi;"Leukimia atau kanker darah merupakan penyakit yang menyebabkan produksi sel darah
putih berlebih dan tidak terkendali.Hal ini dapat menyebabkan aliran darah menjadi terganggu.
Diagnosa leukimia melalui pemeriksaan darah lengkap atau dikenal dengan CBC (complete
blood cell count) untuk mendeteksi sel darah putih yang tidak normal (blast cell). Prosedur
pemeriksaan yang ada saat ini tidak menyediakan catatan penelusuran diagnosa dan
membutuhkan waktu yang lama. Perlu adanya upaya dalam mengurangi waktu dan menyedikan
keperluan diagnosa medis yaitu dengan melakukan identifikasi leukemia berdasarkan
pengujian citra darah yang disemir yang melalui proses pengambilan gambar menggunakan
mikroskop dengan teknik pengolahan citra.
Penelitian ini bertujuan untuk mengklasifikasikan sel darah putih atau WBC (White
Blood Cell) yang normal dan tidak normal untuk mengidentifikasi penyakit leukemia jenis
Acute Lymphoblastic Leukemia (ALL) menggunakan metode klasifikasi Naive Bayes
berdasarkan fitur bentuk. Sedangkan database yang digunakan adalah ALL-IDB2 yang terdiri
dari 130 citra sel darah putih tidak normal (limfoblastik) dan 130 citra sel darah putih normal.
Hasil pengujian yang dilakukan menggunakan 130 data pelatihan memberikan akurasi paling
maksimal sebesar 83,1% .
Kata kunci: Leukemia, complete blood cell count ,Acute Lymphoblastic Leukemia
(ALL),White Blood Cell, Klasifikasi Naive Bayes , fitur bentuk."
1677119772-18;https://pta.trunojoyo.ac.id/c_search/byprod/10/97;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100034;SISTEM INFORMASI KRITERIA DAN PERANGKAT DATA AKREDITASI UNTUK SMP/MTs.;Penulis : Nur Kholis Authon;Akreditasi sekolah/madrasah adalah proses penilaian secara komprehensif terhadap kelayakan dan kinerja satuan dan/atau program pendidikan. Dalam proses Akreditasi ini dibutuhkan data-data yang sesuai dengan kebutuhan pada perangkat data atau borang akreditasi yang telah ada. SMP Islam An-Nidhomiyah merupakan sekolah yang masih melakukan pengumpulan data maupun pencarian dalam bentuk dokumen maupun pencatatan sendiri dan belum terkomputerisasi dengan baik. Maka dari itu dibuat sebuah Sistem Informasi Kriteria dan Perangkat Data Akreditasi Sekolah. Dimana data atau dokumen yang sudah ada dimasukkan ke dalam sistem. Sistem juga menyimpan semua data akreditasi yang sudah diinputkan. Data tersebut akan di inputkan sesuai dengan pernyataan pada perangkat akreditasi. Dari hasil inputan data tersebut dihasilkan keceptan waktu 2.24 second untuk proses upload data dengan kapasitas 37 megabyte. Lama proses upload tersebut dilihat dari besar maupun kecilnya ukuran kapasitas data yang diinputkan. Untuk mempercepat kinerja sekolah dalam upload data akreditasi maka ditetapkan kapasitas maksimal untuk upload data adalah 50 megabyte.
1677119774-19;https://pta.trunojoyo.ac.id/c_search/byprod/10/97;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100088;SISTEM INFORMASI MANAJEMEN SIDANG PENGADILAN BERBASIS FRAMEWORK CODEIGHNITER DAN SMS GATEWAY;Penulis : Anggy Septian Mohammad;"Tinggi nya tingkat kejahatan di Indonesia membuat banyak pihak harus bekerja keras untuk menyelesaikan permasalahan demi permasalahan yang ada.Pengadilan adalah salah satu pihak yang memperoleh dampak dari tinggi nya tingkat kejahatan, karena pengadilan harus menangani, memproses kemudian mengadili apakah yang bersangkutan bersalah atau tidak.

Memberitahukan mengenai jadwal persidangan kepada pihak-pihak yang harus hadir dalam sidang secara manual jelas dibutuhkan waktu dan biaya tambahan, maka disini dibuatlah suatu sistem manajemen sidang dan jadwal persidangan agar lebih efektif dan efisien. Penelitan ini menerapkan SMS Gateway dan menggunakan framework Codeigniter dalam pembuatannya, diharap dengan adanya sistem ini dapat membantu pihak pengadilan dalam meminimalisir biaya dan membantu untuk pemberitahuan penjadwalan dan persidangan.

Dari hasil penelitian ini menggunakan aplikasi sms gateway bisa menghemat biaya pengiriman Rp 380.000.00 per bulannya. Dan juga lebih mudah dan efisien dalam penggunaannya.
 
Kata kunci: Informasi, SMS, Teknologi, Pengadilan."
1677119777-20;https://pta.trunojoyo.ac.id/c_search/byprod/10/97;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100058;SISTEM MANAJEMEN PEMBELAJARAN JARAK JAUH BERBASIS CSCL (COMPUTER-SUPPORTED COLLABORATIVE LEARNING);Penulis : Astu Masrundi;"Pendidikan Jarak Jauh (PJJ) adalah pendidikan yang peserta didiknya terpisah dari pendidik dan peserta didik yang lain dan pembelajarannya menggunakan teknologi E-Learning. Proses pembelajaran dalam keadaan terpisah akan berpotensi membuat seluruh peserta didik menjadi belajar secara individual. Permasalahan tersebut dapat diselesaikan dengan sistem manajemen pembelajaran yang mendukung konsep CSCL (Computer Supported Collaborative Learning) guna membangun kebersamaan dalam proses belajar mengajar secara kelompok di kelas virtual. 
Teknik yang digunakan dalam mendukung konsep CSCL adalah salah satunya membuat sebuah forum diskusi khusus di tiap materi dengan melibatkan pendidik dan peserta didik. Kemudian untuk mengunduh materinya peserta didik diwajibkan untuk online bersama dalam satu kelompok kecil yang sudah ditentukan oleh pendidik. Apabila ada salah satu dari anggota kelompok yang belum online, maka materi tersebut tidak bisa di unduh.
Konsep CSCL ini terbilang cukup efektif untuk membantu siswa membiasakan diri belajar secara kelompok serta berdiskusi langsung dengan pengajar untuk memahami materi. Hal itu dibuktikan dengan hasil uji coba yang menunjukan penilaian rata-rata sebesar 7,34 dari nilai range antara 1 sampai 10 dan masuk dalam kategori cukup efektif.
Kata Kunci :  Pendidikan Jarak Jauh (PJJ), E-Learning, CSCL (Computer- Supported Collaborative Learning)"
1677119782-21;https://pta.trunojoyo.ac.id/c_search/byprod/10/96;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100035;SISTEM KOREKSI ESAI MENGGUNAKAN METODE COSINE SIMILARITY;Penulis : Faiz Andy Kusuma;"ABSTRAK
Dalam setiap sekolah pada proses pembelajaran terdapat beberapa jenis ujian, seperti diantaranya ujian pilahan ganda dan ujian esai. Pada pengkoreksian ujian esai lebih susah dibandingkan pilihan ganda, salah satu kelemahan dari jawaban dalam bentuk esai adalah sulitnya menilai jawaban, dan cenderung memakan waktu. dikarenakan jawaban siswa yang di kembangkan sendiri sehingga guru susah mengkoreksi jawaban siswa dengan mencocokkan dengan kunci jawaban guru.
Metode yang digunakan salah satunya Metode Cosine Similarity. Metode Cosine Similarity adalah salah satu metode dalam menghitung kesamaan dari dua buah dokumen. Pada hasil dari pengkoreksian menggunakan preprocessing dengan tanpa menggunakan preprocessing maka terlihat perbedaan bahwa penilaian menggunakan preprocessing lebih besar dibandingkan tanpa menggunakan preprocessing. Persentase dari pengkoreksian mengggunakan preproceesing dan tanpa menggunakan preprpocessing  adalah 15-20%. Sehingga sistem penilaian esai ini dapat membantu guru dalam mengoreksi ujian esai.

Kata Kunci : Sekolah, Sistem Koreksi Esai, Cosine Similarity, Preprocessing"
1677119784-22;https://pta.trunojoyo.ac.id/c_search/byprod/10/96;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100046;SISTEM INFORMASI MONITORING PENERIMAAN SISWA BARU SMA MELALUI JALUR NASIONAL;Penulis : Majas Ardinta;"Penerimaan siswa baru adalah  hal yang sangat penting dalam semua aspek kalangan di dunia pendidikan. Adanya sistem yang menunjang kinerja penerimaan siswa baru dan mengumpulkan menjadi one gate system adalah cara tepat untuk percepatan kinerja dan memudahkan siswa mendaftar dengan mudah dan nyaman.
Sistem informasi monitoring sangatlah berperan penting dalan hal proses penerimaan siswa oleh karena itu adanya sistem ini sangat dibutuhkan untuk memantau proses penerimaan siswa baru.Penerapan sistem monitoring ini memantau peserta pendidik yang daftar di setiap sekolahan yang dituju.adanya sistem informasi monitoring ini membantu instansi terkait dan adanya sistem ini berdampak positif bagi pendidikan di indonesia.karena dengan adanhya sistem ini pemerataan siswa disetiap sekolah terpenuhi target yang dicanangkan pemerintah.
Dari penelitian yang telah dilakukan dengan sistem informasi monitoring penerimaan siswa baru SMA melalui jalur nasional ini, diketahui bahwa sistem ini sangat membantu pihak dinas pendidikan sebagai pelopor dan mengatur seluruh kegiatan penerimaan siswa baru, sistem ini membantu pihak sekolah dan siswa / siswi dalam melaksanan seleksi penerimaan siswa baru."
1677119787-23;https://pta.trunojoyo.ac.id/c_search/byprod/10/96;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100089;Identifikasi Motif Batik Madura Menggunakan 2D-DFT dan Naive Bayes Classifier;Penulis : Arthur Darwanto;Batik merupakan budaya asli yang berasal dari Indonesia. Setiap daerah di Indonesia memiliki batik dengan khas yang berbeda tiap daerah. Kekhasan batik dapat dilihat dari  motif yang terdapat pada batik itu sendiri. Tiap daerah memiliki motif yang menjadi ciri dan budaya dari daerah tersebut. Cara membedakan motif dari batik sangat sulit bagi orang awam dan hanya menggunakan kemampuan visual saja. Banyak penelitian dalam bidang teknologi dan komputasi yang dilakukan dengan latar belakang permasalahan ini seperti pengenalan pola motif batik, klasifikasi batik berdasarkan asal daerahnya, dan lain-lain. Banyak metode-metode yang digunakan dan dengan hasil akurasi yang berbeda. Pada penelitian ini akan dilakukan identifikasi terhadap citra batik dari empat kabupaten di Madura dengan metode 2D Discrete Fourier Transform (2D-DFT) untuk ekstraksi ciri dan Naïve Bayes untuk proses klasifikasi dan identifikasi. Hasil dari penelitian ini berupa sistem yang dapat mengidentifikasi dan menglasifikasi Batik Madura. Pada penelitian ini akurasi tertinggi batik yang dapat dikenali sistem adalah 51.85%.
1677119789-24;https://pta.trunojoyo.ac.id/c_search/byprod/10/96;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100085;SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN JURUSAN MADRASAH ALIYAH MIFTAHUL ULUM BETTET MENGGUNAKAN METODE VIŠEKRITERIJUMSKO KOMPROMISNO RANGIRANJE (VIKOR);Penulis : ABDUR ROZIK;"Salah satu peran SPK dibidang pendidikan yaitu pada proses pengambilan keputusan untuk pemilihan jurusan siswa Madrasah Aliyah (MA) Miftahul Ulum Bettet, yang sifatnya dapat membantu mengambil keputusan dalam menentukan jurusan IPA, dan sistem ini dapat membantu memecahkan prmasalahan-permasalahan seperti rangking siswa yang sama, dan jugak dapat membantu sebagai bahan untuk membantu guru dalam mengambil keputusan.
Untuk mendukung hal tersebut diatas, maka diperlukan suatu metode yang diterapkan dalam sistem pendukung keputusan yang didalamnya menggunakan metode dan  pembobotan disetiap kriteria-kriteria yang ditentukan oleh sekolah.
Metode yang diterapkan dalam sistem ini yaitu Metode Vikor, metode ini dapat membantu  menentukan siswa dengan perangkingan, semakin kecil nilai indek vikor (Q) siswa, maka semakin bagus peringkat rangkingnya.
Pada penjurusan tahun ajaran 2015/2016 hasil perangkingan metode VIKOR kecocokan 88% 
kata_kunci : SPK, Metode Vikor, MA Miftahul Ulum, Nilai Indek Vikor."
1677119791-25;https://pta.trunojoyo.ac.id/c_search/byprod/10/96;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100024;"SISTEM PENDUKUNG KEPUTUSAN PENENTUAN SISWA KELAS UNGGULAN MENGGUNAKAN 
METODE SAW DAN TOPSIS";Penulis : Siti Sundari;"Sistem Pendukung Keputusan dalam dunia pendidikan dapat membantu  pihak sekolah  dalam 
menentukan kelas unggulan. Di sekolah menengah saat ini sebagian besar masih menggunakan cara manual 
untuk menentukan siswa kelas unggulan,yakni dengan memilih siswa unggulan hanya dengan 
pertimbangan nilai akhir semester saja, dan pada penelitian ini menggunakan beberapa kriteria sebagai 
bahan pertimbangan untuk masuk kelas unggulan. Penelitian ini akan menggunakan dua metode dalam 
SPK yaitu, metode SAW dan Metode TOPSIS. Dalam studi kasus penentuan siswa kelas unggulan pada 
SMP Negeri 1 Malo, Kedua metode ini digunakan karena konsepnya sederhana, mudah dipahami, 
komputasinya efisien. Hasil akhir yang diperoleh dari penelitian ini adalah menentukan alternat if terbaik 
dari sejumlah alternatif, yakni calon siswa yang layak masuk kelas unggulan berdasarkan kriteria -kriteria 
yang telah ditentukan.  
Dari penelitian yang telah dilakukan dengan metode  Simple Additive Weight dan TOPSIS, diketahui 
nilai akurasi data sebesar 61%.  
Kata Kunci: Sistem Pendukung Keputusan, Kelas Unggulan, SAW, TOPSIS"
1677119797-26;https://pta.trunojoyo.ac.id/c_search/byprod/10/95;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100064;Implementasi Enkripsi dan Kompresi Algoritma RSA dan Shannon-fano pada Layanan SMS Android;Penulis : Rachmad Nurhidayat;"Di Indonesia,  SMS masih menjadi pilihan untuk megirimkan sebuah pesan walau masih dibawah instant messenger seperti BBM dan WhatsApp, perbedaan yang terlihat antara SMS dan instant messenger selain cara pembayaran pengiriman pesannya adalah tingkat keamanan. 
Pada instant messenger terdapat fitur untuk mengamankan percakapan  dengan metode-metode kriptografi yang beragam, sedangkan SMS tidak memiliki fitur tersebut, oleh karena itu dibuatlah SMS dengan tambahan fitur kriptografi. 
Kriptografi yang akan digunakan adalah algoritma RSA, algoritma RSA merupakan kriptografi dengan kunci asimetris yang berarti memiliki dua kunci yang digunakan  untuk proses enkripsi dan dekripsi, algoritma RSA akan menjadikan plaintext menjadi bertambah jumlah karakternya, sehingga akan ditambahkan fitur kompresi untuk menekan pertambahan jumlah karakternya. Algoritma kompresi yang akan diguankan adalah Shannon-fano, merupkan algoritma syimbolwise dimana setiap karakter yang akan dikompresi  akan diubah menjadi kode biner yang baru. 
Kompresi ini ditujukan supaya jumlah karakter dari hasil enkripsi tidak begitu banyak. Hasil dari penelitian ini menyatakan bahwa semakin panjang kunci yang digunakan akan semakin lama proses dekripsi pesan, nilai-nilai  avalanche effect  untuk algoritma RSA berkisar antara  8.53%-27.18%, kemudian untuk nilai  brute force masing-masing kunci didapatkan 4.119823716-75603807443 tahun, rata-rata rasio dan space saving dari kompresi adalah 1.42 dan 29.85%, dari pernyataan-pernyataan tersebut pengguna disarankan menggunakan kunci antara 32-56 bit."
1677119799-27;https://pta.trunojoyo.ac.id/c_search/byprod/10/95;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/090411100100;Simulasi Internet of Things Untuk Aplikasi Smarthome Pada Jaringan Wifi;Penulis : Fesari Candra;"Perkembangan teknologi informasi sekarang semakin cepat terutama teknologi jaringan nirkabel, IoT ( Internet of Things ) merupakan suatu konsep yang terdiri dari perangkat kontrol yang dapat mengontrol alat atau mesin secara jarak jauh dengan memanfaatkan teknologi internet, penulis mencoba membuat suatu perancangan sistem yang dapat mengontrol peralatan rumah tangga secara jarak jauh, dalam hal ini menyalakan atau memadamkan lampu secara jarak jauh dengan menggunakan jaringan internet wifi lokal dan menggunakan arduino. Pengontrolan lampu dilakukan dengan menggunakan relay yang dikontrol  oleh mikrokontroler arduino yang terhubung pada jaringan wifi lokal dengan menggunakan modul ESP8266EX. Perintah untuk menyalakan atau memadamkan lampu dikirim secara langsung dari mobile device android melalui jaringan wifi lokal. Melalui aplikasi android mampu menyalakan atau memadamkan lampu secara jarak jauh. Dengan perancangan dan pengimplementasian internet of thing untuk aplikasi smarthome pengontrolan peralatan rumah tangga dapat dilakukan secara jarak jauh. Hasil pengujian sistem menggunakan FURPS (functionality, usability, reliability, performance, supportability) pada proses menyalakan atau memadamkan lampu pada jaringan wifi lokal dengan rata-rata waktu 2,5 detik, sehingga user dapat dengan mudah mengontrol peralatan rumah tangga secara jarak jauh.

Kata kunci : Android, Arduino, ESP8266EX, Internet of Things (IoT), Smarthome."
1677119802-28;https://pta.trunojoyo.ac.id/c_search/byprod/10/95;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100114;Klasifikasi Tingkat Diabetic Retinopathy Berbasis Hybrid Method Menggunakan Backpropagation Neural Network;Penulis : Agus Dian Saputro;Kencing manis merupakan salah satu penyakit yang menyebabkan sebuah komplikasi penyakit Diabetic Retinopathy (DR) pada pasien. Dalam penelitian ini seorang pasien akan digolongkan kedalam empat tingkatan, yaitu normal atau sehat, Moderate non-proliferative diabetic retinopathy (NPDR), severe non-proliferative diabetic retinopathy (NPDR) dan proliferative diabetic retinopathy (PDR). Penelitian ini diawali dengan tahap prepocessing, dimana sebuah citra input  akan dikenai segmentasi dan eliminasi pada blood vessel dan optic disc, dua objek yang tidak diperlukan dalam proses ekstraksi. Tahapan selanjutnya adalah ekstraksi fitur, citra yang sudah bersih dari dua objek tersebut akan di ekstraksi untuk diambil informasi pentingnya (fitur) menggunakan hybrid method yaitu gabungan fitur dari metode ekstraksi glcm dan glrlm. Dari hasil ekstraksi ini, sebuah citra dapat diklasifikasikan melalui fitur-fiturnya menggunakan algoritma jaringan saraf tiruan kedalam empat tingkatan. Penelitian ini menghasilkan perbandingan rerata akurasi tertinggi terhadap tiga metode ekstraksi fitur. Perbandingan rerata nilai akurasi tertinggi glcm, glrlm dan  hybrid terjadi pada skenario 2 dengan nilai berturut-turur sebesar 39,35%, 54,26% dan 46,86%. Jadi, dalam kasus ini metode glrlm lebih cocok dari pada metode  hybrid.
1677119804-29;https://pta.trunojoyo.ac.id/c_search/byprod/10/95;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/100411100047;Perancangan dan Pembuatan Sistem Informasi Pondok Pesantren Berbasis Web (Studi Kasus: Pondok Pesantren Al-Hikam Kec. Burneh Kab. Bangkalan );Penulis : Holili;"Banyak Sistem informasi yang ada pada Pondok Pesantren Al Hikam Tunjung Burneh Bangkalan masih dilakukan secara manual. Dalam pengolahan data pesantren, masih secara konvensional dengan sistem pendataan yang sekarang dirasakan masih banyak kekurangan yang terjadi, dikarenakan sistem yang ada masih menggunakan lembaran kertas dan arsip sehingga dapat menyebabkan data-data yang ada mudah hilang ataupun rusak. Dalam tugas akhir ini akan dibangun sebuah Sistem Informasi Pesantren yang dapat mengintegrasikan keseluruhan proses-proses yang ada di pesantren dengan data yang terkait. Pengintegrasian tersebut dilakukan untuk meningkatkan efisiensi dalam hal sumber daya yang digunakan oleh pihak pesantren serta menyediakan media penyimpanan data yang terstruktur. Sistem ini dikembangkan dengan bahasa pemograman PHP, Fremwork, Laravel dan SQLyog Sebagai Database Server. Sistem ini diharaapkan dapat mempermudah dan mempercepat proses pengumpulan dan pengolahan data, serta memberikan akurasi dan kecepatan dalam penyampaian informasi.

Kata kunci: Sistem informasi Pondok Pesantren berbasis WEB."
